object_id,title,object_name,culture,period,date_begin,date_end,country,region,city,geography,medium,classification,description,tags,image_url,image_small_url,object_url,is_public_domain,source,search_keywords,department,dynasty,reign,credit_line,cultural_context_reason,cultural_context,text_for_embedding,mid_year,visual_x,visual_y,semantic_x,semantic_y
53438,Page of a Pilgrim’s Visiting Album,Book fragment,Japan,Edo period (1615–1868),1767,1899,,,,,"Album page; ink, color, and gold on paper, textile cover",Illustrated Books,"Gift of Estate of Samuel Isham, 1914",Buddhism; Avalokiteshvara; Buddha,https://images.metmuseum.org/CRDImages/as/original/14_140_2_sf.jpg,https://images.metmuseum.org/CRDImages/as/web-large/14_140_2_sf.jpg,https://www.metmuseum.org/art/collection/search/53438,True,The Metropolitan Museum of Art Collection API,Buddha; Bodhisattva; Avalokiteshvara,Asian Art,,,"Gift of Estate of Samuel Isham, 1914",insufficient or ambiguous contextual evidence,Other,"Title: Page of a Pilgrim’s Visiting Album Object type: Book fragment Culture: Japan Period: Edo period (1615–1868) Medium: Album page; ink, color, and gold on paper, textile cover Classification: Illustrated Books Tags: Buddhism; Avalokiteshvara; Buddha",1833.0,-0.19994359,-0.08027586,0.23584886,-0.12330764
53455,Pine Tree and Calligraphy,Hanging scrolls,Japan,Edo period (1615–1868),1767,1807,,,,,Album leaves mounted as hanging scrolls; ink on paper,Paintings,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Trees,https://images.metmuseum.org/CRDImages/as/original/DP357987.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP357987.jpg,https://www.metmuseum.org/art/collection/search/53455,True,The Metropolitan Museum of Art Collection API,Buddhist,Asian Art,,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",insufficient or ambiguous contextual evidence,Other,Title: Pine Tree and Calligraphy Object type: Hanging scrolls Culture: Japan Period: Edo period (1615–1868) Medium: Album leaves mounted as hanging scrolls; ink on paper Classification: Paintings Tags: Trees,1787.0,-0.29121998,-0.3224382,0.38809347,-0.07483823
53625,Dogū (Clay Figurine),Figurine,Japan,Final Jōmon period (ca. 1000–300 BCE),-1050,-200,,,,,Earthenware,Ceramics,"Gift of Mr. and Mrs. Jerome Koizim, 1978",Female Nudes,https://images.metmuseum.org/CRDImages/as/original/DT10152.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DT10152.jpg,https://www.metmuseum.org/art/collection/search/53625,True,The Metropolitan Museum of Art Collection API,Ritual,Asian Art,,,"Gift of Mr. and Mrs. Jerome Koizim, 1978",insufficient or ambiguous contextual evidence,Other,Title: Dogū (Clay Figurine) Object type: Figurine Culture: Japan Period: Final Jōmon period (ca. 1000–300 BCE) Medium: Earthenware Classification: Ceramics Tags: Female Nudes,-625.0,0.3836117,0.0086625395,0.058813103,-0.026848054
53650,Incense Burner in Form of a Praying Mantis,Incense burner,Japan,Meiji period (1868–1912),1849,1899,,,,,"Iron, gold, silver lining",Metalwork,"The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",Insects,https://images.metmuseum.org/CRDImages/as/original/DP224998.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP224998.jpg,https://www.metmuseum.org/art/collection/search/53650,True,The Metropolitan Museum of Art Collection API,Ritual,Asian Art,,,"The Howard Mansfield Collection, Gift of Howard Mansfield, 1936",insufficient or ambiguous contextual evidence,Other,"Title: Incense Burner in Form of a Praying Mantis Object type: Incense burner Culture: Japan Period: Meiji period (1868–1912) Medium: Iron, gold, silver lining Classification: Metalwork Tags: Insects",1874.0,0.22011572,0.002599268,0.16692753,-0.02681321
53660,Ten Verses on Oxherding,Handscroll,Japan,Kamakura period (1185–1333),1185,1350,,,,,Handscroll; ink and color on paper,Paintings,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Men; Ox; Parables,https://images.metmuseum.org/CRDImages/as/original/2015_300_10_Burke_website.jpg,https://images.metmuseum.org/CRDImages/as/web-large/2015_300_10_Burke_website.jpg,https://www.metmuseum.org/art/collection/search/53660,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Asian Art,,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",insufficient or ambiguous contextual evidence,Other,Title: Ten Verses on Oxherding Object type: Handscroll Culture: Japan Period: Kamakura period (1185–1333) Medium: Handscroll; ink and color on paper Classification: Paintings Tags: Men; Ox; Parables,1267.5,-0.30262575,-0.24198632,0.28179094,-0.15225022
53892,Albums of scenes from The Tale of Genji,Albums,Japan,Edo period (1615–1868),1600,1700,,,,,"Two albums of thirty leaves; ink, red pigment, and gold on paper",Paintings,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Men; Women,https://images.metmuseum.org/CRDImages/as/original/LC-2015_300_34ab_001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/LC-2015_300_34ab_001.jpg,https://www.metmuseum.org/art/collection/search/53892,True,The Metropolitan Museum of Art Collection API,Buddha; Sutra,Asian Art,,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",insufficient or ambiguous contextual evidence,Other,"Title: Albums of scenes from The Tale of Genji Object type: Albums Culture: Japan Period: Edo period (1615–1868) Medium: Two albums of thirty leaves; ink, red pigment, and gold on paper Classification: Paintings Tags: Men; Women",1650.0,-0.34505633,-0.24372216,0.15542349,-0.11458233
57249,Hanshan and Shide,Hanging scroll,Japan,,1550,1599,,,,,Hanging scroll; ink on paper,Paintings,"Rogers Fund, 1957",Men,https://images.metmuseum.org/CRDImages/as/original/DP-37456-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-37456-002.jpg,https://www.metmuseum.org/art/collection/search/57249,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; China,Asian Art,,,"Rogers Fund, 1957",insufficient or ambiguous contextual evidence,Other,Title: Hanshan and Shide Object type: Hanging scroll Culture: Japan Medium: Hanging scroll; ink on paper Classification: Paintings Tags: Men,1574.5,-0.2439247,-0.053905323,0.34823444,-0.26043406
57363,Page of a Pilgrim’s Visiting Album,Book fragment,Japan,Edo period (1615–1868),1767,1899,,,,,"Album page; ink, color, and gold on paper, textile cover",Illustrated Books,"Gift of Estate of Samuel Isham, 1914",Buddhism; Buddha,https://images.metmuseum.org/CRDImages/as/original/14_140_3_sf.jpg,https://images.metmuseum.org/CRDImages/as/web-large/14_140_3_sf.jpg,https://www.metmuseum.org/art/collection/search/57363,True,The Metropolitan Museum of Art Collection API,Buddha; Bodhisattva; Avalokiteshvara,Asian Art,,,"Gift of Estate of Samuel Isham, 1914",insufficient or ambiguous contextual evidence,Other,"Title: Page of a Pilgrim’s Visiting Album Object type: Book fragment Culture: Japan Period: Edo period (1615–1868) Medium: Album page; ink, color, and gold on paper, textile cover Classification: Illustrated Books Tags: Buddhism; Buddha",1833.0,-0.18554312,-0.19264099,0.25100762,-0.136482
57573,Statuette of Buddha Sitting on Engraved Throne,Statuette,Korea,Late Unified Silla dynasty (676–935),900,999,,,,,Gilt bronze,Sculpture,"Rogers Fund, 1917",Buddhism; Buddha,https://images.metmuseum.org/CRDImages/as/original/17_118_49_36907.jpg,https://images.metmuseum.org/CRDImages/as/web-large/17_118_49_36907.jpg,https://www.metmuseum.org/art/collection/search/57573,True,The Metropolitan Museum of Art Collection API,Buddha; Sutra; China,Asian Art,,,"Rogers Fund, 1917",insufficient or ambiguous contextual evidence,Other,Title: Statuette of Buddha Sitting on Engraved Throne Object type: Statuette Culture: Korea Period: Late Unified Silla dynasty (676–935) Medium: Gilt bronze Classification: Sculpture Tags: Buddhism; Buddha,949.5,0.17595729,-0.05409356,0.21963713,-0.084172115
60435,Section of the Dream Diary (Yume no ki),Hanging scroll,Japan,Kamakura period (1185–1333),1225,1225,,,,,Hanging scroll; ink on paper,Calligraphy,"Gift of Sylvan Barnet and William Burto, in honor of Saretta and Howard Barnet, 2014",,https://images.metmuseum.org/CRDImages/as/original/DP700719.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP700719.jpg,https://www.metmuseum.org/art/collection/search/60435,True,The Metropolitan Museum of Art Collection API,Sutra,Asian Art,,,"Gift of Sylvan Barnet and William Burto, in honor of Saretta and Howard Barnet, 2014",insufficient or ambiguous contextual evidence,Other,Title: Section of the Dream Diary (Yume no ki) Object type: Hanging scroll Culture: Japan Period: Kamakura period (1185–1333) Medium: Hanging scroll; ink on paper Classification: Calligraphy,1225.0,-0.20173278,-0.29719552,0.5344,-0.09430499
60437,Section of the Dream Diary with a Sketch of Mountains,Hanging scroll,Japan,Kamakura period (1185–1333),1203,1210,,,,,Hanging scroll; ink on paper,Calligraphy,"Gift of Sylvan Barnet and William Burto, in honor of Saretta and Howard Barnet, 2014",,https://images.metmuseum.org/CRDImages/as/original/DP298316.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP298316.jpg,https://www.metmuseum.org/art/collection/search/60437,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Sutra; India,Asian Art,,,"Gift of Sylvan Barnet and William Burto, in honor of Saretta and Howard Barnet, 2014",insufficient or ambiguous contextual evidence,Other,Title: Section of the Dream Diary with a Sketch of Mountains Object type: Hanging scroll Culture: Japan Period: Kamakura period (1185–1333) Medium: Hanging scroll; ink on paper Classification: Calligraphy,1206.5,-0.3090182,-0.3074069,0.45938784,-0.05116221
60451,Letter to the Nun Jōjūbō,Hanging scroll,Japan,Kamakura period (1185–1333),1221,1221,,,,,Hanging scroll; ink on paper,Calligraphy,"Gift of Sylvan Barnet and William Burto, in honor of Saretta and Howard Barnet, 2014",,https://images.metmuseum.org/CRDImages/as/original/DP298302.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP298302.jpg,https://www.metmuseum.org/art/collection/search/60451,True,The Metropolitan Museum of Art Collection API,Buddha; Sutra,Asian Art,,,"Gift of Sylvan Barnet and William Burto, in honor of Saretta and Howard Barnet, 2014",insufficient or ambiguous contextual evidence,Other,Title: Letter to the Nun Jōjūbō Object type: Hanging scroll Culture: Japan Period: Kamakura period (1185–1333) Medium: Hanging scroll; ink on paper Classification: Calligraphy,1221.0,-0.2795546,-0.3422938,0.4850864,-0.14491646
60470,On Reclusion,Hanging scroll,Japan,Nanbokuchō period (1336–92),1300,1349,,,,,Hanging scroll; ink on paper,Calligraphy,"Gift of Sylvan Barnet and William Burto, in honor of Miyeko Murase, 2014",,https://images.metmuseum.org/CRDImages/as/original/DP298241.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP298241.jpg,https://www.metmuseum.org/art/collection/search/60470,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Asian Art,,,"Gift of Sylvan Barnet and William Burto, in honor of Miyeko Murase, 2014",insufficient or ambiguous contextual evidence,Other,Title: On Reclusion Object type: Hanging scroll Culture: Japan Period: Nanbokuchō period (1336–92) Medium: Hanging scroll; ink on paper Classification: Calligraphy,1324.5,-0.25031814,-0.33180872,0.5299591,-0.09044751
61532,Stele with Maitreya and attendant bodhisattvas,Stele,China,Northern Wei dynasty (386–534),534,534,,,,,Stone,Sculpture,"Rogers Fund, 1919",Buddha,https://images.metmuseum.org/CRDImages/as/original/43058.jpg,https://images.metmuseum.org/CRDImages/as/web-large/43058.jpg,https://www.metmuseum.org/art/collection/search/61532,True,The Metropolitan Museum of Art Collection API,Buddha; Bodhisattva; China,Asian Art,,,"Rogers Fund, 1919",insufficient or ambiguous contextual evidence,Other,Title: Stele with Maitreya and attendant bodhisattvas Object type: Stele Culture: China Period: Northern Wei dynasty (386–534) Medium: Stone Classification: Sculpture Tags: Buddha,534.0,0.09983552,-0.04356902,0.3019907,-0.026859509
61658,Bodhisattva Avalokiteshvara (Guanyin),Figure,China,Yuan dynasty (1271–1368),1282,1282,,,,,Wood (wiillow) with traces of pigment; single woodblock construction,Sculpture,"Purchase, Joseph Pulitzer Bequest, 1934",Buddhism; Avalokiteshvara; Bodhisattvas,https://images.metmuseum.org/CRDImages/as/original/DP223478.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP223478.jpg,https://www.metmuseum.org/art/collection/search/61658,True,The Metropolitan Museum of Art Collection API,Bodhisattva; Avalokiteshvara; Guanyin; Tibet; China,Asian Art,,,"Purchase, Joseph Pulitzer Bequest, 1934",insufficient or ambiguous contextual evidence,Other,Title: Bodhisattva Avalokiteshvara (Guanyin) Object type: Figure Culture: China Period: Yuan dynasty (1271–1368) Medium: Wood (wiillow) with traces of pigment; single woodblock construction Classification: Sculpture Tags: Buddhism; Avalokiteshvara; Bodhisattvas,1282.0,0.23393601,0.08194382,0.1731861,0.03890634
61820,"Seated Buddha, probably Shakyamuni (Shijiamouni)",Figure,China,Sixteen Kingdoms period (304–439),367,433,,,,,Gilt bronze; piece-mold cast,Sculpture,"Purchase, Arthur M. Sackler Gift, 1974",Buddhism; Buddha,https://images.metmuseum.org/CRDImages/as/original/DP-15581-062.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-15581-062.jpg,https://www.metmuseum.org/art/collection/search/61820,True,The Metropolitan Museum of Art Collection API,Buddha; Ritual; China,Asian Art,,,"Purchase, Arthur M. Sackler Gift, 1974",insufficient or ambiguous contextual evidence,Other,"Title: Seated Buddha, probably Shakyamuni (Shijiamouni) Object type: Figure Culture: China Period: Sixteen Kingdoms period (304–439) Medium: Gilt bronze; piece-mold cast Classification: Sculpture Tags: Buddhism; Buddha",400.0,0.21756312,-0.009905808,0.2602003,-0.09693956
68308,Seven-Panel Buddhist Monk’s Vestment (Shichijō kesa) with Crane Patterns on Hexagonal Diaper Pattern (Mokkō) Background,"Robe, Monk's",Japan,Edo period (1615–1868),1615,1624,,,,,Twill-weave silk with supplementary weft patterning (karaori),Textiles-Costumes,"Purchase, Joseph Pulitzer Bequest, 1919",Cranes,https://images.metmuseum.org/CRDImages/as/original/43840.jpg,https://images.metmuseum.org/CRDImages/as/web-large/43840.jpg,https://www.metmuseum.org/art/collection/search/68308,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist,Asian Art,,,"Purchase, Joseph Pulitzer Bequest, 1919",insufficient or ambiguous contextual evidence,Other,"Title: Seven-Panel Buddhist Monk’s Vestment (Shichijō kesa) with Crane Patterns on Hexagonal Diaper Pattern (Mokkō) Background Object type: Robe, Monk's Culture: Japan Period: Edo period (1615–1868) Medium: Twill-weave silk with supplementary weft patterning (karaori) Classification: Textiles-Costumes Tags: Cranes",1619.5,-0.057227988,-0.22092915,0.3564546,0.0024881288
68310,Seven-Panel Buddhist Monk’s Vestment (Shichijō kesa) with Peony Patterns in Undulating Columns,"Robe, Priest's",Japan,Edo period (1615–1868),1700,1733,,,,,Twill-weave silk with supplementary weft patterning,Textiles-Costumes,"Purchase, Joseph Pulitzer Bequest, 1919",,https://images.metmuseum.org/CRDImages/as/original/43842.jpg,https://images.metmuseum.org/CRDImages/as/web-large/43842.jpg,https://www.metmuseum.org/art/collection/search/68310,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist,Asian Art,,,"Purchase, Joseph Pulitzer Bequest, 1919",insufficient or ambiguous contextual evidence,Other,"Title: Seven-Panel Buddhist Monk’s Vestment (Shichijō kesa) with Peony Patterns in Undulating Columns Object type: Robe, Priest's Culture: Japan Period: Edo period (1615–1868) Medium: Twill-weave silk with supplementary weft patterning Classification: Textiles-Costumes",1716.5,0.005423239,-0.18394448,0.34194085,-0.032205734
73540,A Large Elephant Recently Imported from Overseas (Shinto hakurai no daizō),Woodblock print,Japan,Edo period (1615–1868),1863,1863,,,,,Diptych of woodblock prints (nishiki-e); ink and color on paper,Prints,"Bequest of William S. Lieberman, 2005",Men; Women; Elephants,https://images.metmuseum.org/CRDImages/as/original/DP148102.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP148102.jpg,https://www.metmuseum.org/art/collection/search/73540,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Bequest of William S. Lieberman, 2005",insufficient or ambiguous contextual evidence,Other,Title: A Large Elephant Recently Imported from Overseas (Shinto hakurai no daizō) Object type: Woodblock print Culture: Japan Period: Edo period (1615–1868) Medium: Diptych of woodblock prints (nishiki-e); ink and color on paper Classification: Prints Tags: Men; Women; Elephants,1863.0,-0.28753245,-0.07655209,0.19973281,-0.009947712
76084,The Bodhisattva Jizō,Statue,Japan,Kamakura period (1185–1333),1291,1291,,,,,"Japanese cypress wood (hinoki) with polychrome pigments, gold paint (kindei), cut gold leaf (kirikane), and rock-crystal eyes",Sculpture,"Purchase, Florence and Herbert Irving Acquisitions Fund for Asian Art, Florence and Herbert Irving Acquisitions Fund, by exchange, The Miriam and Ira D. Wallach Foundation Fund, Brooke Russell Astor Bequest, and Fletcher Fund, 2023",,https://images.metmuseum.org/CRDImages/as/original/DP-14364-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-14364-001.jpg,https://www.metmuseum.org/art/collection/search/76084,True,The Metropolitan Museum of Art Collection API,Buddhist; Bodhisattva,Asian Art,,,"Purchase, Florence and Herbert Irving Acquisitions Fund for Asian Art, Florence and Herbert Irving Acquisitions Fund, by exchange, The Miriam and Ira D. Wallach Foundation Fund, Brooke Russell Astor Bequest, and Fletcher Fund, 2023",insufficient or ambiguous contextual evidence,Other,"Title: The Bodhisattva Jizō Object type: Statue Culture: Japan Period: Kamakura period (1185–1333) Medium: Japanese cypress wood (hinoki) with polychrome pigments, gold paint (kindei), cut gold leaf (kirikane), and rock-crystal eyes Classification: Sculpture",1291.0,0.11701718,0.05046165,0.24912177,0.018129341
78145,Portrait of Bodhidharma,Hanging scroll,Japan,Edo period (1615–1868),1734,1766,,,,,Hanging scroll; ink on paper,Paintings,"Gift of Florence and Herbert Irving, 2015",Men; Portraits,https://images.metmuseum.org/CRDImages/as/original/DP355572.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP355572.jpg,https://www.metmuseum.org/art/collection/search/78145,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; China,Asian Art,,,"Gift of Florence and Herbert Irving, 2015",insufficient or ambiguous contextual evidence,Other,Title: Portrait of Bodhidharma Object type: Hanging scroll Culture: Japan Period: Edo period (1615–1868) Medium: Hanging scroll; ink on paper Classification: Paintings Tags: Men; Portraits,1750.0,-0.20291333,-0.022255434,0.4342483,-0.18680589
78257,Kali,Chromolithograph,"India, Kolkata, West Bengal,",,1875,1905,,,,,Chromolithograph on paper,Prints,"Purchase, Anonymous Gift, 2013",Goddess; Shiva; Hinduism,https://images.metmuseum.org/CRDImages/as/original/DP702072.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP702072.jpg,https://www.metmuseum.org/art/collection/search/78257,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Purchase, Anonymous Gift, 2013",insufficient or ambiguous contextual evidence,Other,"Title: Kali Object type: Chromolithograph Culture: India, Kolkata, West Bengal, Medium: Chromolithograph on paper Classification: Prints Tags: Goddess; Shiva; Hinduism",1890.0,-0.19628352,-0.0015327026,0.13536254,-0.1578736
78260,Vishva Rajalakshmi Gomata,Lithograph,India,,1880,1900,,,,,Lithograph,Prints,"Purchase, Gift of Mrs. William J. Calhoun, by exchange, 2013",Men; Women; Cows,https://images.metmuseum.org/CRDImages/as/original/DP702075.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP702075.jpg,https://www.metmuseum.org/art/collection/search/78260,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Purchase, Gift of Mrs. William J. Calhoun, by exchange, 2013",insufficient or ambiguous contextual evidence,Other,Title: Vishva Rajalakshmi Gomata Object type: Lithograph Culture: India Medium: Lithograph Classification: Prints Tags: Men; Women; Cows,1890.0,-0.299936,-0.012317871,0.072926804,-0.13112722
192770,Saint Bridget of Sweden Receiving the Rule of Her Order,Relief,,,1459,1459,,,,,Marble,Sculpture,"John Stewart Kennedy Fund, 1914",Women; Flowers; Angels; Saints,https://images.metmuseum.org/CRDImages/es/original/DP224276.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP224276.jpg,https://www.metmuseum.org/art/collection/search/192770,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Sculpture and Decorative Arts,,,"John Stewart Kennedy Fund, 1914",insufficient or ambiguous contextual evidence,Other,Title: Saint Bridget of Sweden Receiving the Rule of Her Order Object type: Relief Medium: Marble Classification: Sculpture Tags: Women; Flowers; Angels; Saints,1459.0,-0.0075720805,0.19094019,-0.24837887,-0.1626952
193451,Good Shepherd,Statuette,,,1600,1799,,,,,"Ivory, with traces of gilding and polychromy",Sculpture-Miniature,"Gift of J. Pierpont Morgan, 1917",Animals; Birds; Buddha; Virgin Mary; Shepherds,https://images.metmuseum.org/CRDImages/es/original/38227.jpg,https://images.metmuseum.org/CRDImages/es/web-large/38227.jpg,https://www.metmuseum.org/art/collection/search/193451,True,The Metropolitan Museum of Art Collection API,Buddha; India,European Sculpture and Decorative Arts,,,"Gift of J. Pierpont Morgan, 1917",insufficient or ambiguous contextual evidence,Other,"Title: Good Shepherd Object type: Statuette Medium: Ivory, with traces of gilding and polychromy Classification: Sculpture-Miniature Tags: Animals; Birds; Buddha; Virgin Mary; Shepherds",1699.5,0.20127402,-0.030583655,-0.18286239,-0.118983425
194191,Clock watch with astronomical dial and sundial,Clock watch,,,1600,1615,,,,,"Case: gilded brass; Dial: gilded brass, silver, and copper; Movement: gilded brass, partly blued steel, and silver",Horology,"Gift of J. Pierpont Morgan, 1917",,https://images.metmuseum.org/CRDImages/es/original/DP340434.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP340434.jpg,https://www.metmuseum.org/art/collection/search/194191,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Sculpture and Decorative Arts,,,"Gift of J. Pierpont Morgan, 1917",insufficient or ambiguous contextual evidence,Other,"Title: Clock watch with astronomical dial and sundial Object type: Clock watch Medium: Case: gilded brass; Dial: gilded brass, silver, and copper; Movement: gilded brass, partly blued steel, and silver Classification: Horology",1607.5,0.15773186,-0.07878064,-0.053857017,-0.081896305
197460,Saint Catherine of Siena,Statue,,,1595,1605,,,,,"Bronze, partially oil-gilt",Sculpture-Bronze,"Harris Brisbane Dick Fund, 1933",Saint Catherine,https://images.metmuseum.org/CRDImages/es/original/DP-22142-001.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP-22142-001.jpg,https://www.metmuseum.org/art/collection/search/197460,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Sculpture and Decorative Arts,,,"Harris Brisbane Dick Fund, 1933",insufficient or ambiguous contextual evidence,Other,"Title: Saint Catherine of Siena Object type: Statue Medium: Bronze, partially oil-gilt Classification: Sculpture-Bronze Tags: Saint Catherine",1600.0,0.16925,0.23573366,-0.33712974,-0.15019034
197461,Saint Bernardino of Siena,Statue,,,1595,1605,,,,,"Bronze, partially oil-gilt",Sculpture-Bronze,"Harris Brisbane Dick Fund, 1933",Men; Saints,https://images.metmuseum.org/CRDImages/es/original/DP-22143-001.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP-22143-001.jpg,https://www.metmuseum.org/art/collection/search/197461,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Sculpture and Decorative Arts,,,"Harris Brisbane Dick Fund, 1933",insufficient or ambiguous contextual evidence,Other,"Title: Saint Bernardino of Siena Object type: Statue Medium: Bronze, partially oil-gilt Classification: Sculpture-Bronze Tags: Men; Saints",1600.0,0.112302445,0.17040782,-0.27061743,-0.074685365
200668,Sabine Houdon (1787–1836),Bust,,,1788,1788,,,,,White marble on gray marble socle,Sculpture,"Bequest of Mary Stillman Harkness, 1950",Girls; Portraits,https://images.metmuseum.org/CRDImages/es/original/DP242660.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP242660.jpg,https://www.metmuseum.org/art/collection/search/200668,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Sculpture and Decorative Arts,,,"Bequest of Mary Stillman Harkness, 1950",insufficient or ambiguous contextual evidence,Other,Title: Sabine Houdon (1787–1836) Object type: Bust Medium: White marble on gray marble socle Classification: Sculpture Tags: Girls; Portraits,1788.0,0.22317055,0.27702942,-0.22395217,-0.16949122
200840,Glass cooler (seau à verre),Glass cooler,,,1720,1735,,,,,"Soft-paste porcelain decorated in polychrome enamels, gold",Ceramics-Porcelain,"Gift of R. Thornton Wilson, in memory of Florence Ellsworth Wilson, 1950",Faces; Men; Women,https://images.metmuseum.org/CRDImages/es/original/DP169174.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP169174.jpg,https://www.metmuseum.org/art/collection/search/200840,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Sculpture and Decorative Arts,,,"Gift of R. Thornton Wilson, in memory of Florence Ellsworth Wilson, 1950",insufficient or ambiguous contextual evidence,Other,"Title: Glass cooler (seau à verre) Object type: Glass cooler Medium: Soft-paste porcelain decorated in polychrome enamels, gold Classification: Ceramics-Porcelain Tags: Faces; Men; Women",1727.5,0.08979337,0.016711487,-0.32107303,-0.09054067
201718,Street vendor,Figure,,,1745,1765,,,,,Soft-paste porcelain,Ceramics-Porcelain,"Gift of R. Thornton Wilson, in memory of Florence Ellsworth Wilson, 1954",Men,https://images.metmuseum.org/CRDImages/es/original/DP241968.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP241968.jpg,https://www.metmuseum.org/art/collection/search/201718,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Sculpture and Decorative Arts,,,"Gift of R. Thornton Wilson, in memory of Florence Ellsworth Wilson, 1954",insufficient or ambiguous contextual evidence,Other,Title: Street vendor Object type: Figure Medium: Soft-paste porcelain Classification: Ceramics-Porcelain Tags: Men,1755.0,0.23789589,0.2298711,-0.28941917,-0.084254995
203915,Seated Faun,Statuette,,,1535,1555,,,,,Bronze,Sculpture-Bronze,"Gift of Irwin Untermyer, 1964",Male Nudes,https://images.metmuseum.org/CRDImages/es/original/DP-610-001.jpg,https://images.metmuseum.org/CRDImages/es/web-large/DP-610-001.jpg,https://www.metmuseum.org/art/collection/search/203915,True,The Metropolitan Museum of Art Collection API,Ritual,European Sculpture and Decorative Arts,,,"Gift of Irwin Untermyer, 1964",insufficient or ambiguous contextual evidence,Other,Title: Seated Faun Object type: Statuette Medium: Bronze Classification: Sculpture-Bronze Tags: Male Nudes,1545.0,0.2966786,0.19206432,-0.20867702,-0.11799382
