object_id,title,object_name,culture,period,date_begin,date_end,country,region,city,geography,medium,classification,description,tags,image_url,image_small_url,object_url,is_public_domain,source,search_keywords,department,dynasty,reign,credit_line,cultural_context_reason,cultural_context,text_for_embedding,mid_year,visual_x,visual_y,semantic_x,semantic_y
37878,Preparatory Study for a Portrait of Man Singh and His Harem,Painting,"India (Rajasthan, Jodhpur)",,1810,1815,,,,,"Ink and opaque watercolor on paper, pricked for transfer",Drawings,"Fletcher Fund, 1934",Men; Women; Horses; Carriages,https://images.metmuseum.org/CRDImages/as/original/34_89_recto.jpg,https://images.metmuseum.org/CRDImages/as/web-large/34_89_recto.jpg,https://www.metmuseum.org/art/collection/search/37878,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Fletcher Fund, 1934",insufficient or ambiguous contextual evidence,Other,"Title: Preparatory Study for a Portrait of Man Singh and His Harem Object type: Painting Culture: India (Rajasthan, Jodhpur) Medium: Ink and opaque watercolor on paper, pricked for transfer Classification: Drawings Tags: Men; Women; Horses; Carriages",1812.5,-0.25574037,-0.18014356,0.049026486,-0.21660583
37900,Page from a Dispersed Bhagavata Purana Manuscript,Folio,"India (Rajasthan, Mewar)",,1620,1630,,,,,Ink and opaque watercolor on paper,Paintings,"Gift of Mr. and Mrs. Peter Findlay, 1980",Men; Horses; Krishna,https://images.metmuseum.org/CRDImages/as/original/DP156146.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP156146.jpg,https://www.metmuseum.org/art/collection/search/37900,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Gift of Mr. and Mrs. Peter Findlay, 1980",insufficient or ambiguous contextual evidence,Other,"Title: Page from a Dispersed Bhagavata Purana Manuscript Object type: Folio Culture: India (Rajasthan, Mewar) Medium: Ink and opaque watercolor on paper Classification: Paintings Tags: Men; Horses; Krishna",1625.0,-0.32616532,-0.21524575,0.11904953,-0.19852594
37904,Krishna Steals the Gopis’ Clothing: Page from a Dispersed Bhagavata Purana Manuscript,Folio,"India (Rajasthan, Mewar)",,1620,1630,,,,,Ink and opaque watercolor on paper,Paintings,"Gift of Mr. and Mrs. J. Gordon Douglas III, 1984",,https://images.metmuseum.org/CRDImages/as/original/1984_476_recto.jpg,https://images.metmuseum.org/CRDImages/as/web-large/1984_476_recto.jpg,https://www.metmuseum.org/art/collection/search/37904,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Gift of Mr. and Mrs. J. Gordon Douglas III, 1984",insufficient or ambiguous contextual evidence,Other,"Title: Krishna Steals the Gopis’ Clothing: Page from a Dispersed Bhagavata Purana Manuscript Object type: Folio Culture: India (Rajasthan, Mewar) Medium: Ink and opaque watercolor on paper Classification: Paintings",1625.0,-0.2575418,-0.19481693,0.22475296,-0.187063
38006,Portrait of the Indian Monk Atisha,Thangka,Tibet,,1100,1150,,,,,Distemper and gold on cloth,Paintings,"Gift of Steven Kossak, The Kronos Collections, 1993",Men; Portraits; Buddhism; Monks,https://images.metmuseum.org/CRDImages/as/original/DP-42256-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-42256-001.jpg,https://www.metmuseum.org/art/collection/search/38006,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Thangka; Stupa; Tibet; India; China,Asian Art,,,"Gift of Steven Kossak, The Kronos Collections, 1993",insufficient or ambiguous contextual evidence,Other,Title: Portrait of the Indian Monk Atisha Object type: Thangka Culture: Tibet Medium: Distemper and gold on cloth Classification: Paintings Tags: Men; Portraits; Buddhism; Monks,1125.0,-0.17983736,-0.11391162,0.21812966,-0.08610971
38057,Sketch with Kali and a Young Boy,Painting,"India (Punjab Hills, Kangra?)",,1790,1810,,,,,Ink heightened with color on paper,Paintings,"Gift of Subhash Kapoor, 1996",Swords; Heads; Boys; Goddess,https://images.metmuseum.org/CRDImages/as/original/DP152314.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP152314.jpg,https://www.metmuseum.org/art/collection/search/38057,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Gift of Subhash Kapoor, 1996",insufficient or ambiguous contextual evidence,Other,"Title: Sketch with Kali and a Young Boy Object type: Painting Culture: India (Punjab Hills, Kangra?) Medium: Ink heightened with color on paper Classification: Paintings Tags: Swords; Heads; Boys; Goddess",1800.0,-0.13818133,-0.084132865,0.08922425,-0.16870707
38122,"Seated Buddha Reaching Enlightenment, Flanked by Avalokiteshvara and Maitreya",Stele,"India, Bihar, Nalanda monastery",Pala period,971,1099,,,,,Black schist,Sculpture,"Rogers Fund, 1920",Buddhism; Avalokiteshvara; Buddha; Maitreya,https://images.metmuseum.org/CRDImages/as/original/6 DP310502r3_61A.jpg,https://images.metmuseum.org/CRDImages/as/web-large/6 DP310502r3_61A.jpg,https://www.metmuseum.org/art/collection/search/38122,True,The Metropolitan Museum of Art Collection API,Buddha; Bodhisattva; Avalokiteshvara; India,Asian Art,,,"Rogers Fund, 1920",insufficient or ambiguous contextual evidence,Other,"Title: Seated Buddha Reaching Enlightenment, Flanked by Avalokiteshvara and Maitreya Object type: Stele Culture: India, Bihar, Nalanda monastery Period: Pala period Medium: Black schist Classification: Sculpture Tags: Buddhism; Avalokiteshvara; Buddha; Maitreya",1035.0,0.1439757,-0.016872887,0.2616461,-0.06296636
38159,Standing Ganesha,Figure,Cambodia,pre-Angkor period,650,699,,,,,Stone,Sculpture,"Rogers, Louis V. Bell and Fletcher Funds, 1982",Elephants; Ganesha,https://images.metmuseum.org/CRDImages/as/original/DT7384.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DT7384.jpg,https://www.metmuseum.org/art/collection/search/38159,True,The Metropolitan Museum of Art Collection API,India,Asian Art,,,"Rogers, Louis V. Bell and Fletcher Funds, 1982",insufficient or ambiguous contextual evidence,Other,Title: Standing Ganesha Object type: Figure Culture: Cambodia Period: pre-Angkor period Medium: Stone Classification: Sculpture Tags: Elephants; Ganesha,674.5,0.29217076,0.069911525,0.09626778,0.16892661
38317,Plaque with Scenes from the Life of the Buddha,Plaque,India (Bihar or West Bengal),Pala period,1100,1199,,,,,Mudstone,Sculpture,"Purchase, Anonymous Gift, 1982",Buddhism; Buddha,https://images.metmuseum.org/CRDImages/as/original/DP102618.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP102618.jpg,https://www.metmuseum.org/art/collection/search/38317,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Tibet; India,Asian Art,,,"Purchase, Anonymous Gift, 1982",insufficient or ambiguous contextual evidence,Other,Title: Plaque with Scenes from the Life of the Buddha Object type: Plaque Culture: India (Bihar or West Bengal) Period: Pala period Medium: Mudstone Classification: Sculpture Tags: Buddhism; Buddha,1149.5,0.122329876,-0.081910044,0.17571649,-0.09360776
38440,Standing Ganesha,Figure,"Nepal, Kathmandu Valley",,1500,1699,,,,,Wood with traces of polychrome,Sculpture,"Seymour Fund, 1961",Ganesha,https://images.metmuseum.org/CRDImages/as/original/DP-23988-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-23988-001.jpg,https://www.metmuseum.org/art/collection/search/38440,True,The Metropolitan Museum of Art Collection API,Buddhist; Nepal,Asian Art,,,"Seymour Fund, 1961",insufficient or ambiguous contextual evidence,Other,"Title: Standing Ganesha Object type: Figure Culture: Nepal, Kathmandu Valley Medium: Wood with traces of polychrome Classification: Sculpture Tags: Ganesha",1599.5,0.19085675,-0.015383261,0.02260362,0.07387072
38452,The Death of the Buddha (Parinirvana),Relief panel,Pakistan (ancient region of Gandhara),Kushan period,200,299,,,,,Schist,Sculpture,"Gift of Florence and Herbert Irving, 2015",Gandhara; Sadness; Men; Buddhism; Buddha; Death,https://images.metmuseum.org/CRDImages/as/original/DP123361.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP123361.jpg,https://www.metmuseum.org/art/collection/search/38452,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Stupa; India,Asian Art,,,"Gift of Florence and Herbert Irving, 2015",insufficient or ambiguous contextual evidence,Other,Title: The Death of the Buddha (Parinirvana) Object type: Relief panel Culture: Pakistan (ancient region of Gandhara) Period: Kushan period Medium: Schist Classification: Sculpture Tags: Gandhara; Sadness; Men; Buddhism; Buddha; Death,249.5,0.10704471,0.017014634,0.19626601,-0.095064476
