object_id_1,object_id_2,multimodal_similarity
24316,678610,0.9485014081001282
24316,24317,0.7990294694900513
24316,24318,0.7500438094139099
24316,309227,0.6748561263084412
24316,315668,0.6632378101348877
24317,24318,0.8555777668952942
24317,678610,0.7496731877326965
24317,309227,0.6565405130386353
24317,315668,0.6282742619514465
24318,678610,0.7475829124450684
24318,316427,0.6107692122459412
24318,309227,0.5917155146598816
36033,39959,0.7188091278076172
36033,53660,0.711334764957428
36033,53226,0.7106837630271912
36033,39901,0.710232675075531
36033,39931,0.6939948797225952
36069,53205,0.8426944017410278
36069,752005,0.8330193758010864
36069,39742,0.8234477043151855
36069,40282,0.8156487345695496
36069,39482,0.7888749241828918
36069,37804,0.7052175998687744
36069,38006,0.7647717595100403
36069,41865,0.6556313037872314
36069,53187,0.7661251425743103
36069,78145,0.7430685758590698
36069,320962,0.6298332810401917
36131,39931,0.8403832316398621
36131,44759,0.7836298942565918
36131,39959,0.7349932789802551
36131,53226,0.7121446132659912
36131,53455,0.6907719969749451
36437,53226,0.7866159677505493
36437,40080,0.7714850306510925
36437,53408,0.7569427490234375
36437,53237,0.7565052509307861
36437,53238,0.7337043285369873
37804,39742,0.8131927847862244
37804,53205,0.7749935388565063
37804,37807,0.7580990791320801
37804,38006,0.7452452778816223
37804,314528,0.6748031973838806
37804,320962,0.6292423009872437
37807,39742,0.8414064645767212
37807,38006,0.7897367477416992
37807,53205,0.7680743336677551
37807,752005,0.7425614595413208
37807,228995,0.5987434983253479
37857,37900,0.7700198292732239
37857,453212,0.7657973170280457
37857,453267,0.7523021697998047
37857,454344,0.751430869102478
37857,451264,0.7466369867324829
37857,451270,0.7422434687614441
37878,37900,0.7423261404037476
37878,38057,0.7333925366401672
37878,453212,0.6945125460624695
37878,453975,0.685209333896637
37878,446563,0.6768121719360352
37878,453354,0.6643592715263367
37900,37904,0.8738626837730408
37900,453212,0.8134661912918091
37900,453267,0.7814717292785645
37900,456342,0.779969334602356
37900,454359,0.7798947691917419
37900,38057,0.7077521681785583
37900,78257,0.6599622964859009
37900,78260,0.7029526829719543
37900,451287,0.7239325642585754
37904,453212,0.7076030969619751
37904,456342,0.7027811408042908
37904,453193,0.7020531296730042
37904,454359,0.6822060942649841
38006,39742,0.7971450686454773
38006,53205,0.7847798466682434
38006,40282,0.780685305595398
38006,57363,0.7230154871940613
38057,453212,0.7038388252258301
38057,451270,0.6954923868179321
38057,448183,0.6924940347671509
38057,78257,0.644481360912323
38057,453354,0.6323717832565308
38122,38317,0.8129860162734985
38122,42733,0.7963196635246277
38122,61820,0.7960156798362732
38122,45449,0.7746877670288086
38122,61532,0.7728158235549927
38122,38452,0.7537371516227722
38122,53158,0.758599579334259
38159,38440,0.7932144999504089
38159,39092,0.7688140869140625
38159,313658,0.723325252532959
38159,38945,0.7183180451393127
38159,61658,0.715313732624054
38159,312336,0.6970467567443848
38317,53158,0.8136153817176819
38317,61820,0.7874993085861206
38317,38777,0.7737212777137756
38317,61532,0.7709237933158875
38317,38440,0.7692420482635498
38317,38452,0.7680819034576416
38317,41865,0.6588358283042908
38317,266450,0.6433786153793335
38440,61658,0.7599127888679504
38440,38970,0.7538970708847046
38440,76084,0.7468657493591309
38440,38945,0.7372612357139587
38440,266450,0.6273370385169983
38440,311159,0.6531245112419128
38440,312336,0.7465873956680298
38440,451909,0.7048079371452332
38452,53158,0.751247763633728
38452,38777,0.7325752973556519
38452,61820,0.7263062596321106
38452,192770,0.6245297789573669
38452,322619,0.7018064856529236
38452,322621,0.7145387530326843
38634,39134,0.7620529532432556
38634,38970,0.75767982006073
38634,45449,0.7540505528450012
38634,38777,0.7485286593437195
38634,61658,0.7423588633537292
38634,329077,0.7226381897926331
38777,450483,0.7627053260803223
38777,42733,0.7582199573516846
38777,448959,0.7574658393859863
38777,61820,0.7561337947845459
38777,329077,0.7360608577728271
38945,39134,0.8000845313072205
38945,38970,0.7893337607383728
38945,45449,0.7814327478408813
38945,38950,0.7549882531166077
38945,204587,0.6552455425262451
38950,39092,0.8860666751861572
38950,45449,0.7497158646583557
38950,61658,0.7384577393531799
38950,39047,0.7250889539718628
38970,45449,0.7943472862243652
38970,39134,0.7830711007118225
38970,205883,0.777776837348938
38970,61820,0.7739654779434204
38970,39047,0.7520233988761902
38970,207536,0.6976121068000793
39046,39048,0.9016029834747314
39046,39047,0.891803503036499
39046,39054,0.8882931470870972
39046,57573,0.7500255107879639
39046,61820,0.7237248420715332
39046,327399,0.6242971420288086
39047,39048,0.9499247670173645
39047,39054,0.9248078465461731
39047,57573,0.7742679119110107
39047,39092,0.7445909380912781
