object_id,title,object_name,culture,period,date_begin,date_end,country,region,city,geography,medium,classification,description,tags,image_url,image_small_url,object_url,is_public_domain,source,search_keywords,department,dynasty,reign,credit_line
334030,"A radiant female figure beset by dark spirits; page 45 from the ""Images of Spain"" Album (F)",Drawing,,,1807,1825,Spain,,,Made in,"Brush and point of brush, brown and gray washes, over touches or chalk",Drawings,"Harris Brisbane Dick Fund, 1935",Women,https://images.metmuseum.org/CRDImages/dp/original/DP800210.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP800210.jpg,https://www.metmuseum.org/art/collection/search/334030,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"Harris Brisbane Dick Fund, 1935"
460573,Buddhist deity Vajradhara in union with his consort Prajnaparamita,Sculpture,probably Chinese or Tibetan,,1424,1524,,,,,Gilt brass with copper base and applied color.,Metalwork,"Robert Lehman Collection, 1975",Deities,https://images.metmuseum.org/CRDImages/rl/original/1442-1.jpg,https://images.metmuseum.org/CRDImages/rl/web-large/1442-1.jpg,https://www.metmuseum.org/art/collection/search/460573,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Vajra; Mandala; Ritual; Tibet; China,Robert Lehman Collection,,,"Robert Lehman Collection, 1975"
811771,A Seaman's Wife's Reckoning,Print,,,1812,1812,,,,,Hand-colored etching,Prints,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",Satire; Infants; Men; Women; Dogs,https://images.metmuseum.org/CRDImages/dp/original/DP884507.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP884507.jpg,https://www.metmuseum.org/art/collection/search/811771,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959"
811772,A Seaman's Wife's Reckoning,Print,,,1812,1812,,,,,Hand-colored etching,Prints,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959",Satire; Infants; Men; Women; Dogs,https://images.metmuseum.org/CRDImages/dp/original/DP884506.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP884506.jpg,https://www.metmuseum.org/art/collection/search/811772,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1959"
436099,The Nativity with Donors and Saints Jerome and Leonard,Painting,,,1510,1515,,,,,"Oil on canvas, transferred from wood",Paintings,"The Jules Bache Collection, 1949",Cows; Donkeys; Lions; Angels; Saint Jerome; Saint Leonard; Virgin Mary; Nativity,https://images.metmuseum.org/CRDImages/ep/original/DT1476.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT1476.jpg,https://www.metmuseum.org/art/collection/search/436099,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"The Jules Bache Collection, 1949"
377933,That is Right,Portfolio,,,1989,1989,,,,,16 lithographs; 11 B.A.T. proofs and one A.P. from the portfolio of 12 and 4 prints with notations,Portfolios,"John B. Turner Fund, 2007",,,,https://www.metmuseum.org/art/collection/search/377933,False,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"John B. Turner Fund, 2007"
921040,Mantras of the Two Realms in Sanskrit Script,Hanging scrolls,Japan,Edo period (1615–1868),1767,1771,,,,,Pair of hanging scrolls; ink on paper,Calligraphy,"Purchase, Sue Cassidy Clark Gift, 2025",,https://images.metmuseum.org/CRDImages/as/original/DP-40203-001.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-40203-001.jpg,https://www.metmuseum.org/art/collection/search/921040,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Vajra; Mandala; Sutra,Asian Art,,,"Purchase, Sue Cassidy Clark Gift, 2025"
687615,Detail of the Shroud of Turin,Photograph,,,1931,1931,,,,,Gelatin silver print,Photographs,"Twentieth-Century Photography Fund, 2015",Christ,,,https://www.metmuseum.org/art/collection/search/687615,False,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Photographs,,,"Twentieth-Century Photography Fund, 2015"
436838,The Fortune-Teller,Painting,,,1630,1639,,,,,Oil on canvas,Paintings,"Rogers Fund, 1960",Men; Women,https://images.metmuseum.org/CRDImages/ep/original/DP-14286-015.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14286-015.jpg,https://www.metmuseum.org/art/collection/search/436838,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"Rogers Fund, 1960"
73359,Ten Rakan Examining a Painting of White-Robed Kannon,Hanging scroll,Japan,Edo period (1615–1868),1788,1792,,,,,Hanging scroll; ink and color on paper,Paintings,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015",Painting; Men,https://images.metmuseum.org/CRDImages/as/original/DP-12232-281.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-12232-281.jpg,https://www.metmuseum.org/art/collection/search/73359,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Sutra; Ritual; China,Asian Art,,,"Mary Griggs Burke Collection, Gift of the Mary and Jackson Burke Foundation, 2015"
452032,Pierced Bowl Signed by Hasan al-Qashani,Bowl,,,1075,1125,Iran,,,Made in,"Stonepaste; molded and pierced, monochrome decoration under transparent glaze",Ceramics,"Gift of Mr. and Mrs. Lester Wolfe, 1968",Arabic,https://images.metmuseum.org/CRDImages/is/original/DP123181.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP123181.jpg,https://www.metmuseum.org/art/collection/search/452032,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Islamic Art,,,"Gift of Mr. and Mrs. Lester Wolfe, 1968"
464273,Diptych with the Adoration of the Magi and the Vera Icon (True Image),Diptych,North French,,1325,1350,France,,,Made in,Elephant ivory with metal mounts,Ivories-Elephant,"Gift of J. Pierpont Morgan, 1917",Angels; Bishops; Christ; Saint Christopher,https://images.metmuseum.org/CRDImages/md/original/DP-33217-001.jpg,https://images.metmuseum.org/CRDImages/md/web-large/DP-33217-001.jpg,https://www.metmuseum.org/art/collection/search/464273,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Medieval Art,,,"Gift of J. Pierpont Morgan, 1917"
76034,Marriage procession in a bazaar; from a Ramayana or Bhagavata Purana series,Folio,"India, Mandi, Himachal Pradesh",,1630,1660,,,,,Opaque watercolor and gold on paper,Paintings,"Howard Hodgkin Collection, Purchase, Gift of Florence and Herbert Irving, by exchange, 2022",,,,https://www.metmuseum.org/art/collection/search/76034,False,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Asian Art,,,"Howard Hodgkin Collection, Purchase, Gift of Florence and Herbert Irving, by exchange, 2022"
626692,The Jabach Family,Painting,,,1655,1665,,,,,Oil on canvas,Paintings,"Purchase, Mrs. Charles Wrightsman Gift, in honor of Keith Christiansen, 2014",Interiors; Boys; Girls; Infants; Men; Self-portraits; Women; Dogs; Family,https://images.metmuseum.org/CRDImages/ep/original/DP352819.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP352819.jpg,https://www.metmuseum.org/art/collection/search/626692,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"Purchase, Mrs. Charles Wrightsman Gift, in honor of Keith Christiansen, 2014"
435621,Joan of Arc,Painting,,,1879,1879,,,,,Oil on canvas,Paintings,"Gift of Erwin Davis, 1889",Gardens; Joan of Arc,https://images.metmuseum.org/CRDImages/ep/original/DP-14201-049.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14201-049.jpg,https://www.metmuseum.org/art/collection/search/435621,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"Gift of Erwin Davis, 1889"
430812,"The True Issue or ""Thats Whats the Matter""",Print,,,1864,1864,,,,,Lithograph,Prints,"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent, 1924",Satire; American Civil War; Abraham Lincoln; Men; Maps,https://images.metmuseum.org/CRDImages/dp/original/DP831802.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP831802.jpg,https://www.metmuseum.org/art/collection/search/430812,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"Gift of Georgiana W. Sargent, in memory of John Osborne Sargent, 1924"
850659,"The True Issue or ""Thats Whats the Matter""",Print,,,1864,1864,,,,,Lithograph,Prints,"Gift of  A. S. Colgate, 1952",Satire; American Civil War; Abraham Lincoln; Politics,https://images.metmuseum.org/CRDImages/dp/original/DP-21533-001.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP-21533-001.jpg,https://www.metmuseum.org/art/collection/search/850659,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"Gift of  A. S. Colgate, 1952"
736196,Valentine,Valentine,,,1879,1879,,,,,"Cameo-embossed  lace paper, chromolithography, graphite",Ephemera,"Gift of Mrs. Richard Riddell, 1981",Cupid; Flowers,https://images.metmuseum.org/CRDImages/dp/original/DP886179.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP886179.jpg,https://www.metmuseum.org/art/collection/search/736196,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"Gift of Mrs. Richard Riddell, 1981"
347927,Songs of Innocence: The Divine Image,Print,,,1789,1825,,,,,Relief etching printed in orange-brown ink and hand-colored with watercolor and shell gold,Prints,"Rogers Fund, 1917",Poetry,https://images.metmuseum.org/CRDImages/dp/original/DP816659.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP816659.jpg,https://www.metmuseum.org/art/collection/search/347927,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"Rogers Fund, 1917"
437216,The Fifteen Mysteries and the Virgin of the Rosary,Painting,,,1515,1520,,,,,Oil on wood,Paintings,"Anonymous Bequest, 1984",Soldiers; Madonna and Child; Jesus; Bearing the Cross; Crucifixion; Nativity; Visitation; Resurrection; Flagellation; Death of the Virgin; Coronation of the Virgin,https://images.metmuseum.org/CRDImages/ep/original/DT5754.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DT5754.jpg,https://www.metmuseum.org/art/collection/search/437216,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"Anonymous Bequest, 1984"
437868,"Don Gaspar de Guzmán (1587–1645), Count-Duke of Olivares",Painting,,,1631,1660,,,,,Oil on canvas,Paintings,"Fletcher Fund, 1952",Men; Portraits; Horses,https://images.metmuseum.org/CRDImages/ep/original/DP-14936-011.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-011.jpg,https://www.metmuseum.org/art/collection/search/437868,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"Fletcher Fund, 1952"
759529,"Plate 30: Robert Macaire before his judges, from 'Caricaturana,' published in Les Robert Macaires",Print,,,1838,1838,,,,,Lithograph on wove paper; second state of two (Delteil),Prints,"Gift of Edwin De T. Bechtel, 1953",Men; Law,https://images.metmuseum.org/CRDImages/dp/original/DP878062.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP878062.jpg,https://www.metmuseum.org/art/collection/search/759529,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"Gift of Edwin De T. Bechtel, 1953"
822751,"Severe Weather, from ""Illustrated London News""",Print,,,1856,1856,,,,,Wood engraving,Prints,"Gift of Donato Esposito, 2019",Men; Dogs; Rams,https://images.metmuseum.org/CRDImages/dp/original/DP888825.jpg,https://images.metmuseum.org/CRDImages/dp/web-large/DP888825.jpg,https://www.metmuseum.org/art/collection/search/822751,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"Gift of Donato Esposito, 2019"
902213,Sacred Verse (Gāthā) from the Sutra of Buddhist Teachings (Hokku-gyō),Hanging scroll,Japan,Muromachi period (1392–1573),1380,1405,,,,,Hanging scroll; ink on paper,Calligraphy,"Mary and Cheney Cowles Collection, Gift of Mary and Cheney Cowles, 2024",,https://images.metmuseum.org/CRDImages/as/original/DP-32430-002.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP-32430-002.jpg,https://www.metmuseum.org/art/collection/search/902213,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Sutra; China,Asian Art,,,"Mary and Cheney Cowles Collection, Gift of Mary and Cheney Cowles, 2024"
448959,Head from a Figure with a Beaded Headdress,Head of a figure,,,1100,1225,Iran,,,Attributed to,"Fossiliferous limestone; carved, drilled",Stone,"Rogers Fund, 1933",Heads,https://images.metmuseum.org/CRDImages/is/original/DP170373.jpg,https://images.metmuseum.org/CRDImages/is/web-large/DP170373.jpg,https://www.metmuseum.org/art/collection/search/448959,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Islamic Art,,,"Rogers Fund, 1933"
435702,The Horse Fair,Painting,,,1852,1855,,,,,Oil on canvas,Paintings,"Gift of Cornelius Vanderbilt, 1887",Men; Horses; Paris,https://images.metmuseum.org/CRDImages/ep/original/DP-23550-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-23550-001.jpg,https://www.metmuseum.org/art/collection/search/435702,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"Gift of Cornelius Vanderbilt, 1887"
60451,Letter to the Nun Jōjūbō,Hanging scroll,Japan,Kamakura period (1185–1333),1221,1221,,,,,Hanging scroll; ink on paper,Calligraphy,"Gift of Sylvan Barnet and William Burto, in honor of Saretta and Howard Barnet, 2014",,https://images.metmuseum.org/CRDImages/as/original/DP298302.jpg,https://images.metmuseum.org/CRDImages/as/web-large/DP298302.jpg,https://www.metmuseum.org/art/collection/search/60451,True,The Metropolitan Museum of Art Collection API,Buddha; Sutra,Asian Art,,,"Gift of Sylvan Barnet and William Burto, in honor of Saretta and Howard Barnet, 2014"
436658,Hermann von Wedigh III (died 1560),Painting,,,1532,1532,,,,,Oil and gold on oak,Paintings,"Bequest of Edward S. Harkness, 1940",Men; Portraits; Latin,https://images.metmuseum.org/CRDImages/ep/original/DP164836.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP164836.jpg,https://www.metmuseum.org/art/collection/search/436658,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"Bequest of Edward S. Harkness, 1940"
488221,Gertrude Stein,Painting,,,1905,1906,,,,,Oil on canvas,Paintings,"Bequest of Gertrude Stein, 1946",Portraits; Women,,,https://www.metmuseum.org/art/collection/search/488221,False,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Modern and Contemporary Art,,,"Bequest of Gertrude Stein, 1946"
822560,You Want It Darker,Print,,,2018,2018,,,,,Spit bite etching with drypoint,Prints,"Gift of the artist, 2019",,,,https://www.metmuseum.org/art/collection/search/822560,False,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Drawings and Prints,,,"Gift of the artist, 2019"
436803,The Adoration of the Magi,Painting,,,1472,1474,,,,,Distemper on canvas,Paintings,"Bequest of George Blumenthal, 1941",Men; Dogs; Virgin Mary; Jesus; Adoration of the Magi; Joseph,https://images.metmuseum.org/CRDImages/ep/original/DP-16339-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16339-001.jpg,https://www.metmuseum.org/art/collection/search/436803,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"Bequest of George Blumenthal, 1941"
452740,Seal Stone,Seal,,,900,1099,Iran,,probably Nishapur,Attributed to,Hematite; incised with gold fittings,Seals,"Fletcher Fund, 1975",,https://images.metmuseum.org/CRDImages/is/original/sf1975-118a.jpg,https://images.metmuseum.org/CRDImages/is/web-large/sf1975-118a.jpg,https://www.metmuseum.org/art/collection/search/452740,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,Islamic Art,,,"Fletcher Fund, 1975"
435844,The Musicians,Painting,,,1597,1597,,,,,Oil on canvas,Paintings,"Rogers Fund, 1952",Grapes; Men; Music; Lutes; Violins; Cupid; Musicians,https://images.metmuseum.org/CRDImages/ep/original/DP-687-001.jpg,https://images.metmuseum.org/CRDImages/ep/web-large/DP-687-001.jpg,https://www.metmuseum.org/art/collection/search/435844,True,The Metropolitan Museum of Art Collection API,Buddha; Buddhist; Bodhisattva; Avalokiteshvara; Guanyin; Tara; Vajra; Mandala; Thangka; Stupa; Sutra; Ritual; Tibet; Nepal; India; China,European Paintings,,,"Rogers Fund, 1952"
